,PLAYER,AFFILIATION,OVERALL PICK,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD,ROOKIE
859,Bryce McGowens,Nebraska,40,Minnesota Timberwolves,31.0,33.3,16.8,5.2,12.8,40.3,1.3,4.7,27.4,5.2,6.3,83.1,0.7,4.5,5.2,1.4,2.1,0.7,0.3,2.0,1.98,79.0,Guard,0,0,0,1,1
860,E.J. Liddell,Ohio State,41,New Orleans Pelicans,31.0,16.6,6.7,2.3,4.9,46.4,0.2,0.8,19.2,2.0,2.7,71.8,1.1,2.6,3.8,0.5,0.9,0.4,0.9,1.9,2.01,109.0,Forward,0,0,1,0,1
861,Trevor Keels,Duke,42,New York Knicks,36.0,30.2,11.5,4.1,9.8,41.9,1.5,4.8,31.2,1.8,2.7,67.0,0.8,2.6,3.4,2.7,1.3,1.2,0.1,1.3,1.96,100.0,Guard,0,0,0,1,1
862,Moussa Diabate,Michigan,43,LA Clippers,32.0,24.8,9.0,3.7,6.8,54.2,0.1,0.4,21.4,1.6,2.6,61.9,2.4,3.6,6.0,0.8,1.5,0.3,0.9,2.7,2.11,95.0,Forward,0,0,1,0,1
863,Ryan Rollins,Toledo,44,Atlanta Hawks,30.0,30.2,13.7,4.9,11.3,43.1,1.4,4.2,32.3,2.6,3.3,78.6,1.0,4.2,5.2,2.5,2.4,1.1,0.1,2.7,1.93,82.0,Guard,0,0,0,1,1
864,Josh Minott,Memphis,45,Charlotte Hornets,33.0,14.6,6.6,2.5,4.8,52.2,0.1,0.4,14.3,1.5,2.0,75.4,1.6,2.2,3.8,0.9,0.9,0.8,0.7,1.8,2.03,93.0,Forward,0,0,1,0,1
865,Vince Williams Jr.,Virginia Commonwealth,47,Memphis Grizzlies,33.0,15.4,4.9,1.5,3.3,45.9,0.2,0.8,24.0,1.7,2.4,68.8,1.0,2.3,3.3,1.0,1.5,1.0,0.4,2.0,1.98,93.0,Guard,0,0,0,1,1
866,Kendall Brown,Baylor,48,Minnesota Timberwolves,34.0,27.1,9.7,3.9,6.6,58.4,0.4,1.2,34.1,1.5,2.2,68.9,1.7,3.1,4.9,1.9,1.7,1.0,0.4,2.3,2.03,93.0,Guard,0,0,0,1,1
867,Isaiah Mobley,Southern California,49,Cleveland Cavaliers,31.0,20.4,6.2,2.4,5.0,47.4,0.3,0.9,28.6,1.2,2.3,52.1,1.5,3.7,5.3,1.0,1.5,0.6,0.6,2.2,2.03,108.0,Forward,0,0,1,0,1
868,Tyrese Martin,Connecticut,51,Golden State Warriors,33.0,27.0,8.1,3.0,7.2,41.8,1.0,3.2,31.1,1.1,1.6,64.8,1.9,3.3,5.2,1.0,1.4,0.8,0.3,2.1,1.98,98.0,Guard,0,0,0,1,1
869,JD Davison,Alabama,53,Boston Celtics,33.0,25.8,8.5,3.0,6.5,46.3,0.8,2.5,30.1,1.8,2.5,72.8,1.1,3.7,4.8,4.3,2.9,1.0,0.4,1.2,1.91,88.0,Guard,0,0,0,1,1
870,Jabari Walker,Colorado,57,Portland Trail Blazers,26.0,14.2,7.6,2.7,5.1,52.6,0.9,1.7,52.3,1.3,1.7,77.8,1.3,3.0,4.3,0.5,1.1,0.5,0.5,2.1,2.03,91.0,Forward,0,0,1,0,1
