,PLAYER,AFFILIATION,OVERALL PICK,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD,ROOKIE
125,Sean May,North Carolina,13,CHA,23,17.3,8.2,3.0,7.4,40.9,0.0,0.2,0.0,2.1,2.8,76.6,1.8,2.9,4.7,1.0,1.4,0.7,0.5,2.5,2.06,121.0,Center-Forward,0,1,1,0,0
126,Rashad McCants,North Carolina,14,MIN,79,17.2,7.9,3.1,6.8,45.0,0.8,2.3,37.2,1.0,1.3,73.6,0.4,1.4,1.8,0.8,1.1,0.6,0.3,2.2,1.93,98.0,Guard,0,0,0,1,0
127,Joey Graham,Oklahoma State,16,TOR,80,19.8,6.7,2.5,5.2,47.8,0.4,1.1,33.3,1.4,1.7,81.2,0.7,2.3,3.1,0.8,1.2,0.5,0.2,2.9,2.01,104.0,Forward,0,0,1,0,0
128,Danny Granger,New Mexico,17,IND,78,22.6,7.5,2.8,6.1,46.2,0.4,1.2,32.3,1.5,1.9,77.7,1.7,3.2,4.9,1.2,1.0,0.7,0.8,2.7,2.06,101.0,Forward-Guard,0,0,1,1,0
129,Gerald Green,Gulf Shores Academy,18,BOS,32,11.7,5.2,2.1,4.3,47.8,0.2,0.6,30.0,0.9,1.2,78.4,0.3,1.0,1.3,0.6,0.7,0.4,0.1,1.3,2.01,93.0,Guard-Forward,0,0,1,1,0
130,Jarrett Jack,Georgia Tech,22,POR,79,20.2,6.7,2.4,5.4,44.2,0.3,1.0,26.3,1.6,2.0,80.0,0.2,1.8,2.0,2.8,1.3,0.5,0.0,1.7,1.91,91.0,Guard,0,0,0,1,0
131,Johan Petro,Elan Bearnais Pau-Orthez (France),25,SEA,68,18.9,5.2,2.3,4.4,51.0,0.0,0.0,0.0,0.7,1.1,62.7,1.6,2.8,4.4,0.2,0.9,0.4,0.8,3.1,2.13,112.0,Center,0,1,0,0,0
132,Jason Maxiell,Cincinnati,26,DET,26,6.1,2.3,0.9,2.1,42.6,0.0,0.0,0.0,0.5,1.6,33.3,0.5,0.6,1.1,0.1,0.4,0.2,0.2,0.5,2.01,118.0,Forward,0,0,1,0,0
133,Linas Kleiza,Missouri,27,DEN,61,8.5,3.5,1.3,2.8,44.5,0.0,0.2,15.4,0.9,1.3,70.4,0.6,1.3,1.9,0.2,0.3,0.2,0.2,1.4,2.03,106.0,Forward,0,0,1,0,0
134,Ian Mahinmi,STB Le Havre (France),28,SAS,6,3.8,3.5,1.0,2.0,50.0,0.0,0.0,0.0,1.5,1.5,100.0,0.0,0.8,0.8,0.2,0.3,0.0,0.7,0.7,2.11,119.0,Center,0,1,0,0,0
135,Wayne Simien,Kansas,29,MIA,43,9.6,3.4,1.3,2.8,48.3,0.0,0.0,0.0,0.7,0.8,88.2,0.9,1.2,2.0,0.2,0.6,0.3,0.0,1.6,2.06,113.0,Forward,0,0,1,0,0
136,Salim Stoudamire,Arizona,31,ATL,61,20.3,9.7,3.3,8.1,41.5,1.3,3.5,38.0,1.6,1.8,90.0,0.2,1.7,1.9,1.2,1.3,0.4,0.0,1.9,1.85,79.0,Guard,0,0,0,1,0
137,Daniel Ewing,Duke,32,LAC,66,14.7,3.8,1.5,3.9,38.0,0.3,1.2,28.2,0.5,0.7,78.3,0.3,0.9,1.3,1.3,0.9,0.6,0.1,1.3,1.91,84.0,Guard,0,0,0,1,0
138,Brandon Bass,Louisiana State,33,NOK,29,9.3,2.3,1.0,2.4,40.0,0.0,0.0,0.0,0.4,0.7,63.2,0.6,1.7,2.3,0.1,0.4,0.1,0.2,0.6,2.03,113.0,Forward,0,0,1,0,0
139,Ersan Ilyasova,Ulkerspor (Turkey),36,MIL,66,14.7,6.1,2.1,5.5,38.3,0.8,2.2,36.5,1.1,1.3,78.7,0.9,2.0,2.9,0.7,0.8,0.4,0.3,2.2,2.06,107.0,Forward,0,0,1,0,0
140,Travis Diener,Marquette,38,ORL,23,10.7,3.8,1.3,3.0,42.0,1.1,2.5,43.9,0.2,0.3,83.3,0.2,0.7,0.9,0.7,0.4,0.3,0.0,1.0,1.85,79.0,Guard,0,0,0,1,0
141,Von Wafer,Florida State,39,LAL,16,4.5,1.3,0.4,2.4,15.8,0.1,1.1,11.8,0.4,0.5,75.0,0.3,0.2,0.5,0.3,0.1,0.2,0.0,0.8,1.96,95.0,Guard,0,0,0,1,0
142,Monta Ellis,Lanier,40,GSW,49,18.1,6.8,2.7,6.5,41.5,0.6,1.7,34.1,0.9,1.2,71.2,0.4,1.7,2.1,1.6,1.2,0.7,0.2,1.4,1.91,84.0,Guard,0,0,0,1,0
143,Chris Taft,Pittsburgh,42,GSW,17,8.5,2.8,1.4,2.2,60.5,0.0,0.0,0.0,0.1,0.4,16.7,1.1,1.0,2.1,0.1,0.1,0.1,0.4,1.5,2.08,118.0,Forward,0,0,1,0,0
144,Mile Ilic,KK FMP (Serbia),43,NJN,5,1.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.2,2.16,116.0,Center,0,1,0,0,0
145,Martynas Andriuskevicius,BC Zalgiris (Lithuania),44,CLE,6,1.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7,0.0,0.0,0.3,0.0,0.2,2.18,109.0,Center,0,1,0,0,0
146,Lou Williams,South Gwinnett,45,PHI,30,4.8,1.9,0.8,1.7,44.2,0.1,0.3,22.2,0.3,0.4,61.5,0.1,0.5,0.6,0.3,0.4,0.2,0.0,0.4,1.88,79.0,Guard,0,0,0,1,0
147,Bracey Wright,Indiana,47,MIN,7,19.3,8.9,3.0,7.3,41.2,0.9,2.4,35.3,2.0,2.3,87.5,0.4,2.1,2.6,0.7,1.1,0.1,0.0,1.1,1.91,91.0,Guard,0,0,0,1,0
148,Mickael Gelabale,Real Madrid Baloncesto (Spain),48,SEA,70,17.7,4.6,1.7,3.8,46.2,0.2,0.7,23.4,0.9,1.2,80.5,0.8,1.6,2.5,0.8,0.7,0.3,0.3,1.5,2.01,98.0,Forward,0,0,1,0,0
149,Andray Blatche,South Kent School,49,WAS,29,6.1,2.2,0.9,2.3,38.8,0.1,0.4,23.1,0.3,0.4,83.3,0.4,0.9,1.3,0.3,0.4,0.2,0.2,1.2,2.11,118.0,Center-Forward,0,1,1,0,0
150,Lawrence Roberts,Mississippi,55,MEM,33,5.5,1.5,0.6,1.3,45.5,0.0,0.1,0.0,0.3,0.7,47.8,0.8,0.7,1.5,0.2,0.2,0.2,0.1,0.9,2.06,109.0,Forward,0,0,1,0,0
151,Amir Johnson,Westchester,56,DET,3,12.9,6.7,2.3,3.3,70.0,0.7,1.0,66.7,1.3,1.3,100.0,1.0,0.3,1.3,1.0,1.3,0.0,0.7,2.3,2.06,109.0,Center-Forward,0,1,1,0,0
152,Uros Slokar,Pallalcesto Amatori Udine (Italy),58,TOR,20,3.6,1.9,0.7,1.3,53.8,0.1,0.1,50.0,0.5,0.7,69.2,0.4,0.4,0.7,0.1,0.5,0.1,0.1,0.6,2.08,108.0,Forward,0,0,1,0,0
153,Alex Acker,Pepperdine,60,DET,5,7.0,1.8,0.8,3.2,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.8,0.2,0.0,0.8,1.96,84.0,Guard,0,0,0,1,0
154,Adam Morrison,Gonzaga,3,CHA,78,29.8,11.8,4.6,12.1,37.6,1.1,3.3,33.7,1.5,2.2,71.0,0.7,2.3,2.9,2.1,1.7,0.4,0.1,2.3,2.03,93.0,Forward,0,0,1,0,0
155,Shelden Williams,Duke,5,ATL,81,18.7,5.5,2.0,4.5,45.5,0.0,0.0,50.0,1.4,1.8,76.4,1.6,3.8,5.4,0.5,1.2,0.6,0.5,2.5,2.06,113.0,Center-Forward,0,1,1,0,0
156,Brandon Roy,Washington,6,POR,57,35.3,16.8,6.1,13.4,45.6,1.0,2.6,37.7,3.5,4.2,83.8,1.0,3.4,4.4,4.0,2.0,1.2,0.2,2.4,1.98,96.0,Guard,1,0,0,1,0
157,Randy Foye,Villanova,7,MIN,82,22.9,10.1,3.7,8.4,43.4,0.8,2.3,36.8,2.0,2.3,85.4,0.6,2.1,2.7,2.8,1.9,0.6,0.3,2.2,1.93,99.0,Guard,0,0,0,1,0
158,Rudy Gay,Connecticut,8,MEM,78,27.0,10.8,4.1,9.7,42.2,0.7,1.8,36.4,1.9,2.7,72.7,1.2,3.3,4.5,1.3,1.8,0.9,0.9,2.5,2.03,113.0,Forward-Guard,0,0,1,1,0
159,Patrick O'Bryant,Bradley,9,GSW,16,7.4,1.9,0.6,2.0,31.3,0.0,0.0,0.0,0.7,1.1,64.7,0.4,0.9,1.3,0.6,0.5,0.4,0.5,1.6,2.13,113.0,Center,0,1,0,0,0
160,Mouhamed Sene,VOO Wolves Verviers-Pepinster (Belgium),10,SEA,28,6.1,1.9,0.6,1.8,36.7,0.0,0.0,0.0,0.6,1.0,58.6,0.6,1.0,1.6,0.0,0.4,0.1,0.4,1.2,2.11,104.0,Center,0,1,0,0,0
161,JJ Redick,Duke,11,ORL,42,14.8,6.0,1.9,4.6,41.0,0.9,2.3,38.8,1.3,1.4,90.0,0.2,1.0,1.2,0.9,0.5,0.3,0.0,1.2,1.91,91.0,Guard,0,0,0,1,0
162,Hilton Armstrong,Connecticut,12,NOK,56,11.3,3.1,1.2,2.2,54.4,0.0,0.0,0.0,0.7,1.2,59.7,1.0,1.6,2.7,0.2,0.6,0.2,0.5,1.4,2.11,107.0,Forward-Center,0,1,1,0,0
163,Thabo Sefolosha,Pallacanestro Biella (Italy),13,CHI,71,12.2,3.6,1.5,3.6,42.6,0.2,0.6,35.7,0.3,0.6,51.1,0.5,1.7,2.2,0.8,0.8,0.5,0.2,1.4,1.98,98.0,Forward-Guard,0,0,1,1,0
164,Ronnie Brewer,Arkansas,14,UTA,56,12.1,4.6,1.8,3.4,52.8,0.0,0.2,0.0,1.0,1.5,67.5,0.7,0.7,1.3,0.4,0.4,0.7,0.1,0.8,2.01,107.0,Forward,0,0,1,0,0
165,Cedric Simmons,North Carolina State,15,NOK,43,12.4,2.9,1.3,3.1,41.7,0.0,0.0,0.0,0.4,0.8,48.5,1.0,1.5,2.5,0.3,0.5,0.2,0.5,1.7,2.06,107.0,Forward,0,0,1,0,0
166,Shawne Williams,Memphis,17,IND,46,12.1,3.9,1.6,3.5,46.9,0.4,1.1,36.5,0.2,0.4,55.0,0.7,1.1,1.8,0.5,0.5,0.1,0.2,1.5,2.08,104.0,Forward,0,0,1,0,0
167,Oleksiy Pecherov,Paris Basket Racing (France),18,WAS,35,9.1,3.6,1.3,3.6,35.2,0.5,1.7,28.3,0.6,0.9,64.5,0.6,1.3,1.9,0.2,0.5,0.2,0.1,0.9,2.13,106.0,Forward-Center,0,1,1,0,0
168,Quincy Douby,Rutgers,19,SAC,42,8.6,2.8,1.1,3.0,38.1,0.3,1.2,24.0,0.3,0.4,73.3,0.3,0.6,0.9,0.4,0.4,0.4,0.1,0.5,1.91,79.0,Guard,0,0,0,1,0
169,Marcus Williams,Connecticut,22,NJN,79,16.6,6.8,2.6,6.7,39.5,0.6,2.1,28.2,0.9,1.1,84.7,0.4,1.7,2.1,3.3,1.8,0.4,0.0,1.2,1.91,93.0,Guard,0,0,0,1,0
170,Josh Boone,Connecticut,23,NJN,61,11.0,4.2,1.6,2.8,57.9,0.0,0.0,0.0,0.9,1.7,54.4,1.0,1.8,2.9,0.2,0.5,0.2,0.3,1.5,2.08,109.0,Forward-Center,0,1,1,0,0
171,Kyle Lowry,Villanova,24,MEM,10,17.5,5.6,1.4,3.8,36.8,0.3,0.8,37.5,2.5,2.8,89.3,1.2,1.9,3.1,3.2,1.2,1.4,0.1,2.0,1.83,89.0,Guard,0,0,0,1,0
172,Sergio Rodriguez,CB Estudiantes (Spain),27,POR,67,12.9,3.7,1.5,3.6,42.3,0.4,1.3,28.2,0.3,0.4,80.8,0.3,1.1,1.4,3.3,1.1,0.5,0.0,1.1,1.91,80.0,Guard,0,0,0,1,0
173,Mardy Collins,Temple,29,NYK,52,14.9,4.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,0.5,1.5,2.0,1.6,1.1,0.6,0.1,1.4,1.98,100.0,Guard,0,0,0,1,0
174,Joel Freeland,CB Gran Canaria (Spain),30,POR,51,9.4,2.6,1.1,2.8,40.8,0.0,0.0,0.0,0.4,0.5,66.7,0.8,1.5,2.3,0.3,0.4,0.3,0.2,1.3,2.08,102.0,Center-Forward,0,1,1,0,0
175,James White,Cincinnati,31,SAS,6,22.8,8.3,3.0,6.8,43.9,0.3,1.2,28.6,2.0,2.5,80.0,0.5,2.8,3.3,0.8,0.8,0.5,0.2,1.2,2.01,98.0,Guard-Forward,0,0,1,1,0
176,P.J. Tucker,Texas,35,TOR,17,4.9,1.8,0.6,1.3,50.0,0.0,0.0,0.0,0.5,0.8,57.1,0.6,0.7,1.4,0.2,0.4,0.1,0.0,0.7,1.96,111.0,Forward,0,0,1,0,0
177,Craig Smith,Boston College,36,MIN,82,18.7,7.4,3.0,5.6,53.1,0.0,0.1,0.0,1.4,2.3,62.4,1.8,3.2,5.1,0.6,0.9,0.6,0.2,2.7,2.01,120.0,Forward,0,0,1,0,0
178,Bobby Jones,Washington,37,PHI,44,7.6,2.5,1.0,2.1,46.2,0.0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.4,0.3,0.0,1.3,2.01,98.0,Forward,0,0,1,0,0
179,Kosta Perovic,KK Partizan (Serbia),38,GSW,7,5.4,1.4,0.4,1.4,30.0,0.0,0.0,0.0,0.6,0.9,66.7,0.9,1.0,1.9,0.1,0.1,0.0,0.3,0.9,2.18,109.0,Center,0,1,0,0,0
180,David Noel,North Carolina,39,MIL,68,11.6,2.7,1.0,2.6,36.7,0.3,0.8,32.1,0.5,0.6,86.0,0.6,1.2,1.8,1.0,0.6,0.4,0.1,1.1,1.98,104.0,Forward-Guard,0,0,1,1,0
181,James Augustine,Illinois,41,ORL,2,3.7,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.0,0.0,0.0,1.0,2.08,107.0,Forward,0,0,1,0,0
182,Daniel Gibson,Texas,42,CLE,60,16.5,4.6,1.6,3.9,42.4,0.9,2.1,41.9,0.5,0.7,71.8,0.5,1.1,1.5,1.2,0.7,0.4,0.1,1.6,1.88,91.0,Guard,0,0,0,1,0
183,Alexander Johnson,Florida State,45,MEM,59,12.8,4.4,1.5,2.9,53.8,0.0,0.0,0.0,1.3,2.0,66.1,0.8,2.2,3.1,0.3,0.8,0.4,0.6,2.3,2.06,109.0,Forward,0,0,1,0,0
184,Paul Millsap,Louisiana Tech,47,UTA,82,18.0,6.8,2.5,4.9,52.5,0.0,0.0,33.3,1.7,2.5,67.3,2.2,2.9,5.2,0.8,1.1,0.8,0.9,2.9,2.01,117.0,Forward,0,0,1,0,0
185,Leon Powe,California,49,BOS,63,11.4,4.2,1.3,2.8,44.6,0.0,0.0,0.0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.7,0.2,0.3,1.7,2.03,109.0,Forward,0,0,1,0,0
186,Damir Markota,KK Cibona (Croatia),59,MIL,30,5.7,1.7,0.6,1.7,36.5,0.2,0.5,37.5,0.2,0.4,63.6,0.4,0.7,1.0,0.2,0.5,0.1,0.0,0.7,2.08,102.0,Forward,0,0,1,0,0
187,Will Blalock,Iowa State,60,DET,14,11.8,1.8,0.6,2.1,30.0,0.1,0.4,20.0,0.4,0.4,100.0,0.4,0.6,1.1,1.2,0.9,0.4,0.0,0.6,1.83,93.0,Guard,0,0,0,1,0
188,Greg Oden,Ohio State,1,POR,61,21.5,8.9,3.2,5.8,56.4,0.0,0.0,0.0,2.4,3.7,63.7,2.8,4.2,7.0,0.5,1.4,0.4,1.1,3.9,2.13,124.0,Center,0,1,0,0,0
189,Kevin Durant,Texas,2,SEA,80,34.6,20.3,7.3,17.1,43.0,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.4,2.4,2.9,1.0,0.9,1.5,2.08,109.0,Forward,1,0,1,0,0
190,Al Horford,Florida,3,ATL,81,31.4,10.1,4.1,8.2,49.9,0.0,0.1,0.0,1.9,2.6,73.1,3.1,6.6,9.7,1.5,1.7,0.7,0.9,3.3,2.06,109.0,Center-Forward,0,1,1,0,0
191,Mike Conley,Ohio State,4,MEM,53,26.1,9.4,3.6,8.3,42.8,0.6,1.7,33.0,1.7,2.3,73.2,0.4,2.2,2.6,4.2,1.7,0.8,0.0,1.6,1.85,79.0,Guard,0,0,0,1,0
192,Jeff Green,Georgetown,5,SEA,80,28.2,10.5,4.0,9.4,42.7,0.3,1.0,27.6,2.2,3.0,74.4,1.3,3.5,4.7,1.5,2.0,0.6,0.6,2.5,2.03,107.0,Forward,0,0,1,0,0
193,Yi Jianlian,Guangdong Southern Tigers (China),6,MIL,66,24.9,8.6,3.3,7.9,42.1,0.1,0.3,28.6,1.8,2.2,84.1,1.6,3.6,5.2,0.8,1.4,0.5,0.8,2.3,2.13,113.0,Forward,0,0,1,0,0
194,Corey Brewer,Florida,7,MIN,79,22.8,5.8,2.3,6.2,37.4,0.1,0.5,19.4,1.1,1.4,80.0,1.0,2.7,3.7,1.4,1.1,1.0,0.3,2.4,2.06,85.0,Guard-Forward,0,0,1,1,0
195,Joakim Noah,Florida,9,CHI,74,20.7,6.6,2.4,5.0,48.2,0.0,0.0,0.0,1.8,2.6,69.1,2.4,3.3,5.6,1.1,1.2,0.9,0.9,2.3,2.11,105.0,Forward-Center,0,1,1,0,0
196,Spencer Hawes,Washington,10,SAC,71,13.1,4.7,2.1,4.5,45.9,0.1,0.3,19.0,0.5,0.8,65.5,1.0,2.3,3.2,0.6,0.8,0.2,0.6,1.8,2.16,111.0,Forward-Center,0,1,1,0,0
197,Acie Law,Texas A&M,11,ATL,56,15.5,4.2,1.7,4.2,40.1,0.1,0.6,20.6,0.7,0.9,79.2,0.2,0.8,1.0,2.0,1.0,0.5,0.0,1.3,1.91,92.0,Guard,0,0,0,1,0
198,Thaddeus Young,Georgia Tech,12,PHI,74,21.0,8.2,3.6,6.6,53.9,0.1,0.3,31.6,1.0,1.4,73.8,1.6,2.6,4.2,0.8,0.9,1.0,0.1,1.7,2.03,107.0,Forward,0,0,1,0,0
199,Julian Wright,Kansas,13,NOH,57,11.2,3.9,1.6,3.0,53.3,0.2,0.4,41.7,0.6,0.9,63.5,0.6,1.5,2.1,0.7,0.6,0.5,0.2,0.8,2.03,102.0,Forward,0,0,1,0,0
200,Al Thornton,Florida State,14,LAC,79,27.3,12.7,4.7,11.0,42.9,0.5,1.6,33.1,2.7,3.6,74.3,1.2,3.3,4.5,1.2,1.6,0.6,0.5,2.5,2.03,107.0,Forward,0,0,1,0,0
201,Sean Williams,Boston College,17,NJN,73,17.5,5.6,2.2,4.2,53.8,0.0,0.0,0.0,1.1,1.8,60.9,1.6,2.8,4.4,0.4,1.0,0.4,1.5,2.6,2.08,107.0,Forward-Center,0,1,1,0,0
202,Javaris Crittenton,Georgia Tech,19,LAL,22,7.8,3.3,1.2,2.4,49.1,0.0,0.1,33.3,0.9,1.3,67.9,0.3,0.6,1.0,0.8,1.0,0.3,0.0,0.5,1.96,91.0,Guard,0,0,0,1,0
203,Daequan Cook,Ohio State,21,MIA,59,24.4,8.8,3.3,8.7,38.1,1.3,4.0,33.2,0.8,1.0,82.5,0.3,2.7,3.0,1.3,1.1,0.4,0.2,2.7,1.96,95.0,Guard,0,0,0,1,0
204,Jared Dudley,Boston College,22,CHA,73,19.0,5.8,2.2,4.8,46.8,0.1,0.6,22.0,1.2,1.6,73.7,1.7,2.3,3.9,1.1,0.7,0.8,0.1,1.8,1.98,108.0,Forward,0,0,1,0,0
205,Wilson Chandler,DePaul,23,NYK,35,19.6,7.3,3.0,6.9,43.8,0.3,0.9,30.0,1.0,1.5,63.0,1.1,2.5,3.6,0.9,0.8,0.4,0.5,2.4,2.03,107.0,Forward,0,0,1,0,0
206,Morris Almond,Rice,25,UTA,9,4.4,1.4,0.4,1.7,26.7,0.1,0.4,25.0,0.4,0.7,66.7,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.6,1.98,102.0,Guard,0,0,0,1,0
207,Aaron Brooks,Oregon,26,HOU,51,11.9,5.2,1.8,4.4,41.3,0.7,2.1,33.0,0.8,1.0,85.7,0.3,0.8,1.1,1.7,0.9,0.3,0.1,1.4,1.83,73.0,Guard,0,0,0,1,0
208,Arron Afflalo,California-Los Angeles,27,DET,75,12.9,3.7,1.3,3.2,41.1,0.1,0.6,20.8,0.9,1.2,78.2,0.5,1.3,1.8,0.7,0.5,0.4,0.1,1.1,1.96,95.0,Guard,0,0,0,1,0
209,Tiago Splitter,Saski Baskonia (Spain),28,SAS,60,12.3,4.6,1.7,3.2,52.9,0.0,0.0,0.0,1.3,2.3,54.3,1.2,2.2,3.4,0.4,0.5,0.5,0.3,1.5,2.11,111.0,Center-Forward,0,1,1,0,0
210,Carl Landry,Purdue,31,HOU,42,16.9,8.1,3.2,5.2,61.6,0.0,0.0,0.0,1.7,2.6,66.1,2.3,2.6,4.9,0.5,0.6,0.4,0.2,2.3,2.06,112.0,Forward,0,0,1,0,0
211,Gabe Pruitt,Southern California,32,BOS,15,6.3,2.1,0.9,2.6,35.9,0.2,0.8,25.0,0.1,0.1,50.0,0.1,0.5,0.5,0.9,0.3,0.3,0.0,0.7,1.93,77.0,Guard,0,0,0,1,0
212,Marcus Williams,Arizona,33,SAS,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.01,94.0,Guard,0,0,0,1,0
213,Nick Fazekas,Nevada-Reno,34,DAL,4,2.3,1.0,0.5,1.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,2.11,107.0,Forward,0,0,1,0,0
214,Glen Davis,Louisiana State,35,BOS,69,13.6,4.5,1.6,3.2,48.4,0.0,0.0,0.0,1.4,2.2,66.0,1.4,1.6,3.0,0.4,0.9,0.4,0.3,2.3,2.06,131.0,Forward-Center,0,1,1,0,0
215,Jermareo Davidson,Alabama,36,CHA,38,8.5,3.2,1.3,3.3,40.8,0.0,0.0,0.0,0.5,0.7,64.3,0.6,1.1,1.6,0.3,0.4,0.2,0.4,1.2,2.08,104.0,Forward,0,0,1,0,0
216,Kyrylo Fesenko,Cherkaski Mavpy (Ukraine),38,UTA,9,7.8,1.6,0.7,1.8,37.5,0.0,0.0,0.0,0.2,0.4,50.0,1.6,1.2,2.8,0.2,0.9,0.0,0.3,2.1,2.16,127.0,Center,0,1,0,0,0
217,Sun Sun,Beijing Olympians (China),40,LAL,10,2.8,0.6,0.3,1.1,27.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.1,1.0,2.06,93.0,Guard,0,0,0,1,0
218,Chris Richard,Florida,41,MIN,52,10.7,1.9,0.8,1.7,47.1,0.0,0.0,0.0,0.3,0.5,59.3,1.0,1.6,2.6,0.3,0.5,0.2,0.2,1.6,2.06,116.0,Forward,0,0,1,0,0
219,Derrick Byars,Vanderbilt,42,SAS,2,18.4,5.0,1.5,5.5,27.3,0.0,3.0,0.0,2.0,2.0,100.0,3.0,2.5,5.5,0.5,0.0,1.0,0.0,1.0,2.01,100.0,Guard-Forward,0,0,1,1,0
220,Stephane Lasme,Massachusetts,46,GSW,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,98.0,Forward,0,0,1,0,0
221,Marc Gasol,CB Sant Josep (Spain),48,MEM,82,30.7,11.9,4.3,8.1,53.0,0.0,0.0,0.0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,2.0,0.8,1.1,3.2,2.11,116.0,Center,0,1,0,0,0
222,Aaron Gray,Pittsburgh,49,CHI,61,10.0,4.3,1.7,3.3,50.5,0.0,0.0,0.0,0.9,1.6,56.6,1.1,1.6,2.8,0.7,0.9,0.3,0.3,1.9,2.13,122.0,Center,0,1,0,0,0
223,Taurean Green,Florida,52,POR,8,5.5,2.1,0.5,2.0,25.0,0.1,1.0,12.5,1.0,1.0,100.0,0.0,0.5,0.5,1.0,0.9,0.1,0.0,0.4,1.83,80.0,Guard,0,0,0,1,0
224,Ramon Sessions,Nevada-Reno,56,MIL,17,26.4,8.1,3.0,6.9,43.6,0.2,0.4,42.9,1.9,2.4,78.0,0.5,2.9,3.4,7.5,2.1,1.0,0.2,1.5,1.91,86.0,Guard,0,0,0,1,0
225,DJ Strawberry,Maryland,59,PHX,33,8.2,2.2,0.9,2.8,31.5,0.2,0.8,24.0,0.3,0.6,47.4,0.3,0.6,0.8,0.9,0.3,0.4,0.2,1.1,1.96,91.0,Guard,0,0,0,1,0
226,Derrick Rose,Memphis,1,CHI,81,37.0,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.5,1.88,91.0,Guard,1,0,0,1,0
227,O.J. Mayo,Southern California,3,MEM,82,38.1,18.5,6.9,15.6,43.8,1.8,4.6,38.4,3.0,3.4,87.9,0.7,3.1,3.8,3.2,2.8,1.1,0.2,2.5,1.96,95.0,Guard,0,0,0,1,0
228,Russell Westbrook,California-Los Angeles,4,OKC,82,32.5,15.3,5.3,13.4,39.8,0.4,1.6,27.1,4.3,5.2,81.5,2.2,2.7,4.9,5.3,3.3,1.3,0.2,2.3,1.91,91.0,Guard,0,0,0,1,0
229,Danilo Gallinari,Olimpia Milano (Italy),6,NYK,28,14.7,6.1,2.0,4.5,44.8,1.1,2.6,44.4,0.9,1.0,96.3,0.5,1.5,2.0,0.5,0.5,0.5,0.1,1.7,2.08,107.0,Forward,0,0,1,0,0
230,Eric Gordon,Indiana,7,LAC,78,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,0.6,2.0,2.6,2.8,2.1,1.0,0.4,2.2,1.91,98.0,Guard,0,0,0,1,0
231,Joe Alexander,West Virginia,8,MIL,59,12.1,4.7,1.7,4.2,41.6,0.3,0.8,34.8,1.0,1.4,69.9,0.7,1.2,1.9,0.7,0.9,0.3,0.5,1.8,2.03,104.0,Forward,0,0,1,0,0
232,D.J. Augustin,Texas,9,CHA,72,26.5,11.8,3.7,8.6,43.0,1.5,3.4,43.9,2.9,3.2,89.3,0.2,1.6,1.8,3.5,1.7,0.6,0.0,1.9,1.8,83.0,Guard,0,0,0,1,0
233,Brook Lopez,Stanford,10,NJN,82,30.5,13.0,5.5,10.3,53.1,0.0,0.0,0.0,2.1,2.6,79.3,2.7,5.4,8.1,1.0,1.8,0.5,1.8,3.1,2.13,128.0,Center,0,1,0,0,0
234,Jerryd Bayless,Arizona,11,POR,53,12.4,4.3,1.3,3.6,36.5,0.1,0.5,25.9,1.6,1.9,80.6,0.2,0.9,1.1,1.5,1.1,0.3,0.0,1.5,1.91,91.0,Guard,0,0,0,1,0
235,Jason Thompson,Rider,12,SAC,82,28.1,11.1,4.3,8.7,49.7,0.0,0.1,0.0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,1.8,0.6,0.7,3.8,2.11,113.0,Forward-Center,0,1,1,0,0
