,PLAYER,ROOKIE,ROTY,FTM,AST,STL,OREB,GP,BLK,PF,ThreePA,FTPercent,ThreePPercent,GUARD,FORWARD,WEIGHT,HEIGHT,CENTER,YEAR,OVERALL PICK,FTRate,TSPercent
288,Sasha Kaun,0,0,0.2,0.1,0.2,0.5,25.0,0.2,0.4,0.0,45.5,0.0,0,0,118.0,2.11,1,2015,56,0.5714285714285715,0.5056179775280899
289,Joe Crawford,0,0,1.0,0.5,0.5,0.5,2.0,0.0,1.0,2.0,100.0,25.0,1,0,95.0,1.96,0,2008,58,0.2,0.4109589041095891
290,Semih Erden,0,0,0.9,0.5,0.4,0.8,37.0,0.6,2.5,0.0,63.0,0.0,0,0,109.0,2.13,1,2010,60,0.5769230769230769,0.6188679245283019
291,Blake Griffin,0,1,5.4,3.8,0.8,3.3,82.0,0.5,3.1,0.3,64.2,29.2,0,1,113.0,2.06,0,2010,1,0.5059523809523809,0.539892021595681
292,Hasheem Thabeet,0,0,0.8,0.2,0.2,1.3,68.0,1.3,2.4,0.0,58.1,0.0,0,0,119.0,2.21,1,2009,2,0.7368421052631579,0.6042884990253412
293,James Harden,0,0,2.6,1.8,1.1,0.6,76.0,0.3,2.6,3.3,80.8,37.5,1,0,100.0,1.96,0,2009,3,0.4210526315789474,0.542763157894737
294,Ricky Rubio,0,0,3.1,8.2,2.2,0.5,41.0,0.2,2.4,2.3,80.3,34.0,1,0,86.0,1.88,0,2011,5,0.39999999999999997,0.4688191065900044
295,Jonny Flynn,0,0,2.8,4.4,1.0,0.3,81.0,0.0,1.2,2.7,82.6,35.8,1,0,84.0,1.83,0,2009,6,0.2796610169491525,0.5049560501215635
296,Stephen Curry,0,0,2.2,5.9,1.9,0.6,80.0,0.2,3.2,4.8,88.5,43.7,1,0,84.0,1.88,0,2009,7,0.17482517482517482,0.5649717514124294
297,Jordan Hill,0,0,0.6,0.3,0.4,1.3,24.0,0.4,1.5,0.1,71.4,0.0,0,1,109.0,2.08,1,2009,8,0.2368421052631579,0.47309284447072736
298,DeMar DeRozan,0,0,1.9,0.7,0.6,0.9,77.0,0.2,2.3,0.2,76.3,25.0,1,1,100.0,1.98,0,2009,9,0.3787878787878788,0.5521669341894061
299,Brandon Jennings,0,0,2.7,5.7,1.3,0.6,82.0,0.2,2.3,4.7,81.7,37.4,1,0,77.0,1.85,0,2009,10,0.22297297297297294,0.47349931266228806
300,Terrence Williams,0,0,1.3,2.9,0.6,0.6,78.0,0.1,1.6,1.3,71.5,31.0,1,1,100.0,1.98,0,2009,11,0.21686746987951805,0.4587657018022938
301,Gerald Henderson,0,0,0.8,0.3,0.2,0.3,43.0,0.2,0.6,0.4,74.5,21.1,1,0,98.0,1.96,0,2009,12,0.45833333333333337,0.44482463644140297
302,Earl Clark,0,0,0.5,0.4,0.1,0.4,51.0,0.3,0.5,0.1,72.2,40.0,0,1,106.0,2.08,0,2009,14,0.2333333333333333,0.4051012753188297
303,Austin Daye,0,0,0.7,0.5,0.4,0.5,69.0,0.4,1.7,1.4,82.1,30.5,0,1,100.0,2.11,0,2009,15,0.186046511627907,0.5448717948717948
304,Jrue Holiday,0,0,0.9,3.8,1.1,0.8,73.0,0.2,2.1,2.2,75.6,39.0,1,0,93.0,1.91,0,2009,17,0.16901408450704225,0.5215123859191656
305,Ty Lawson,0,0,1.6,3.1,0.7,0.6,65.0,0.0,1.4,1.3,75.7,41.0,1,0,88.0,1.8,0,2009,18,0.3666666666666667,0.589070262597587
306,Jeff Teague,0,0,0.6,1.7,0.5,0.1,71.0,0.2,1.2,0.5,83.7,21.9,1,0,88.0,1.91,0,2009,19,0.21874999999999997,0.45293701344656756
307,Byron Mullens,0,0,0.0,0.1,0.2,0.2,13.0,0.0,1.0,0.0,0.0,0.0,0,0,125.0,2.13,1,2009,24,0.0,0.3666666666666667
308,Rodrigue Beaubois,0,0,0.8,1.3,0.5,0.2,56.0,0.2,1.5,2.0,80.8,40.9,1,0,84.0,1.88,0,2009,25,0.169811320754717,0.6198166739415102
309,Taj Gibson,0,0,1.4,0.9,0.6,2.8,82.0,1.3,3.4,0.0,64.6,0.0,0,1,105.0,2.06,0,2009,26,0.2727272727272727,0.5173900546133947
310,DeMarre Carroll,0,0,0.5,0.5,0.4,0.7,71.0,0.1,1.5,0.1,62.3,0.0,0,1,98.0,1.98,0,2009,27,0.2258064516129032,0.4224326292789512
311,Wayne Ellington,0,0,0.8,1.0,0.3,0.4,76.0,0.1,0.9,2.1,87.1,39.5,1,0,94.0,1.93,0,2009,28,0.15254237288135591,0.5215329909126827
312,Christian Eyenga,0,0,0.4,0.8,0.8,0.6,44.0,0.6,1.8,2.1,64.3,27.5,0,1,95.0,2.01,0,2010,30,0.08571428571428572,0.47357584076870285
313,Jeff Ayres,0,0,0.5,0.0,0.2,0.6,39.0,0.4,1.9,0.0,90.0,0.0,0,1,113.0,2.06,1,2009,31,0.29411764705882354,0.6967741935483871
314,Dante Cunningham,0,0,0.5,0.2,0.4,0.9,63.0,0.3,1.5,0.0,64.6,0.0,0,1,104.0,2.03,0,2009,33,0.23529411764705885,0.5158730158730159
315,DaJuan Summers,0,0,0.6,0.4,0.2,0.3,44.0,0.2,1.2,1.0,71.1,35.7,0,1,109.0,2.03,0,2009,35,0.3,0.437636761487965
316,Sam Young,0,0,1.7,0.7,0.4,1.0,80.0,0.3,1.3,0.7,77.7,19.6,1,1,102.0,1.98,0,2009,36,0.3548387096774194,0.5106970324361629
317,Jon Brockman,0,0,0.7,0.4,0.3,2.0,52.0,0.1,2.2,0.0,59.7,0.0,0,1,116.0,2.01,0,2009,38,0.6,0.5447470817120622
318,Jonas Jerebko,0,0,1.6,0.7,1.0,2.4,80.0,0.4,2.9,1.4,71.0,31.3,0,1,105.0,2.08,0,2009,39,0.29333333333333333,0.5441778818022236
319,Derrick Brown,0,0,0.8,0.3,0.4,0.5,57.0,0.2,0.9,0.1,66.7,28.6,0,1,106.0,2.03,0,2009,40,0.5,0.5128205128205128
320,Jodie Meeks,0,0,0.4,0.5,0.3,0.1,41.0,0.1,0.8,2.0,85.7,28.0,1,0,95.0,1.93,0,2009,41,0.11627906976744186,0.45179063360881544
321,Patrick Beverley,0,0,0.8,2.9,0.9,1.1,41.0,0.5,2.0,2.3,82.9,37.5,1,0,82.0,1.85,0,2012,42,0.2173913043478261,0.5517241379310345
322,Chase Budinger,0,0,0.9,1.2,0.5,0.5,74.0,0.1,1.1,3.4,77.0,36.9,0,1,95.0,2.01,0,2009,44,0.15789473684210525,0.5446756425948592
323,Nick Calathes,0,0,0.6,2.9,0.9,0.3,71.0,0.1,1.6,0.9,61.1,31.1,1,0,97.0,1.98,0,2013,45,0.22727272727272727,0.5025641025641026
324,Danny Green,0,0,0.2,0.3,0.3,0.4,20.0,0.2,0.5,1.1,66.7,27.3,1,0,98.0,1.98,0,2009,46,0.15,0.46674445740956827
325,Taylor Griffin,0,0,0.3,0.1,0.0,0.0,8.0,0.3,0.5,0.3,50.0,0.0,0,1,108.0,2.01,0,2009,48,0.3846153846153846,0.4227642276422764
326,Nando De Colo,0,0,0.5,1.9,0.6,0.3,72.0,0.1,1.2,1.1,79.5,37.8,1,0,88.0,1.96,0,2012,53,0.18181818181818182,0.5299860529986052
327,Patty Mills,0,0,0.4,0.5,0.0,0.1,10.0,0.0,0.6,0.4,57.1,50.0,1,0,82.0,1.83,0,2009,55,0.2916666666666667,0.47575480329368713
328,Lester Hudson,0,0,0.3,0.5,0.2,0.2,16.0,0.1,0.4,0.3,83.3,60.0,1,0,86.0,1.91,0,2009,58,0.36363636363636365,0.5426356589147286
329,John Wall,0,0,4.4,8.3,1.8,0.5,69.0,0.5,2.5,1.7,76.6,29.6,1,0,95.0,1.91,0,2010,1,0.4042553191489362,0.48787743566860026
330,Evan Turner,0,0,1.3,2.0,0.6,0.5,78.0,0.2,1.8,0.6,80.8,31.8,1,1,100.0,1.98,0,2010,2,0.23529411764705885,0.4761904761904762
331,Derrick Favors,0,0,1.3,0.4,0.3,2.3,56.0,0.7,3.3,0.0,61.2,0.0,0,1,120.0,2.06,0,2010,3,0.42857142857142855,0.5341246290801187
332,Wesley Johnson,0,0,0.8,1.9,0.7,0.6,79.0,0.7,2.1,3.7,69.6,35.6,1,1,98.0,2.01,0,2010,4,0.13953488372093023,0.49073064340239914
333,DeMarcus Cousins,0,0,3.4,2.5,1.0,2.7,81.0,0.8,4.1,0.2,68.7,16.7,0,0,122.0,2.08,1,2010,5,0.4032258064516129,0.47715736040609136
334,Ekpe Udoh,0,0,0.7,0.7,0.4,1.4,58.0,1.5,2.5,0.0,65.6,0.0,0,1,111.0,2.08,1,2010,6,0.2894736842105263,0.4742625795257374
335,Greg Monroe,0,0,1.8,1.3,1.2,3.1,80.0,0.6,2.5,0.0,62.2,0.0,0,1,113.0,2.08,1,2010,7,0.42028985507246375,0.5678042887345214
336,Al-Farouq Aminu,0,0,1.1,0.7,0.7,0.9,81.0,0.3,1.5,1.8,77.3,31.5,0,1,100.0,2.03,0,2010,8,0.3,0.4901531728665207
337,Gordon Hayward,0,0,1.0,1.1,0.4,0.6,72.0,0.3,1.5,1.0,71.1,47.3,0,1,102.0,2.01,0,2010,9,0.3170731707317074,0.5723370429252783
338,Paul George,0,0,1.3,1.1,1.0,0.6,61.0,0.4,2.1,2.3,76.2,29.7,0,1,100.0,2.03,0,2010,10,0.26153846153846155,0.5336982552172426
339,Cole Aldrich,0,0,0.1,0.2,0.3,0.7,18.0,0.4,1.7,0.0,50.0,0.0,0,0,115.0,2.11,1,2010,11,0.25,0.5586592178770949
340,Ed Davis,0,0,1.1,0.6,0.6,2.6,65.0,1.0,2.8,0.0,55.5,0.0,0,1,99.0,2.06,1,2010,13,0.3508771929824561,0.5789473684210527
341,Patrick Patterson,0,0,0.6,0.8,0.3,1.7,52.0,0.7,1.5,0.0,71.4,0.0,0,1,107.0,2.03,0,2010,14,0.15686274509803924,0.5748175182481752
342,Luke Babbitt,0,0,0.1,0.3,0.1,0.3,24.0,0.1,0.6,0.7,33.3,18.8,0,1,102.0,2.06,0,2010,16,0.1739130434782609,0.30120481927710846
343,Kevin Seraphin,0,0,0.4,0.2,0.3,1.4,58.0,0.5,2.2,0.0,71.0,0.0,0,1,126.0,2.08,1,2010,17,0.2,0.49315068493150693
344,Eric Bledsoe,0,0,1.2,3.6,1.1,0.8,81.0,0.3,1.6,1.4,74.4,27.6,1,0,97.0,1.85,0,2010,18,0.26666666666666666,0.4955621301775148
345,Avery Bradley,0,0,0.2,0.4,0.3,0.1,31.0,0.0,0.6,0.2,50.0,0.0,1,0,82.0,1.91,0,2010,19,0.18181818181818182,0.35564853556485354
346,James Anderson,0,0,0.5,0.7,0.1,0.1,26.0,0.2,0.9,1.8,77.8,39.1,1,1,97.0,1.98,0,2010,20,0.2258064516129032,0.5243991260014567
347,Craig Brackins,0,0,0.0,0.3,0.3,0.7,3.0,0.0,1.0,1.7,0.0,0.0,0,1,104.0,2.08,0,2010,21,0.0,0.25471698113207547
348,Trevor Booker,0,0,1.0,0.5,0.4,1.5,65.0,0.6,1.8,0.0,67.3,0.0,0,1,103.0,2.03,0,2010,23,0.4102564102564103,0.5686695278969957
349,Damion James,0,0,0.7,0.8,0.6,0.7,25.0,0.5,1.4,0.1,64.3,0.0,0,1,102.0,2.01,0,2010,24,0.26829268292682934,0.4759329367225528
350,Quincy Pondexter,0,0,0.4,0.4,0.3,0.3,66.0,0.2,1.0,0.8,70.6,36.0,0,1,104.0,2.01,0,2010,26,0.18518518518518517,0.47659574468085103
351,Jordan Crawford,0,0,0.3,0.9,0.2,0.6,16.0,0.0,0.8,1.7,66.7,33.3,1,0,88.0,1.96,0,2010,27,0.08333333333333334,0.42084168336673344
352,Tibor Pleiss,0,0,0.2,0.2,0.1,0.5,12.0,0.2,1.6,0.2,100.0,0.0,0,0,116.0,2.21,1,2015,31,0.09523809523809523,0.4555808656036446
353,Hassan Whiteside,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0,120.0,2.13,1,2010,33,0.0,0.0
354,Armon Johnson,0,0,0.3,1.2,0.1,0.3,38.0,0.0,0.8,0.3,59.1,41.7,1,0,88.0,1.91,0,2010,34,0.2222222222222222,0.4857621440536013
355,Nemanja Bjelica,0,0,0.7,1.4,0.4,0.8,60.0,0.4,2.6,2.1,72.7,38.4,0,1,106.0,2.06,0,2015,35,0.23076923076923078,0.5892547660311959
356,Andy Rautins,0,0,0.2,0.6,0.2,0.0,5.0,0.0,0.0,0.8,50.0,25.0,1,0,86.0,1.93,0,2010,38,0.28571428571428575,0.5031446540880504
357,Landry Fields,0,0,1.4,1.9,1.0,1.3,82.0,0.2,1.4,2.7,76.9,39.3,1,1,98.0,2.01,0,2010,39,0.24657534246575344,0.5947271612507664
358,Lance Stephenson,0,0,0.9,1.8,0.3,0.1,12.0,0.0,1.2,0.4,78.6,0.0,0,1,95.0,1.96,0,2010,40,0.36363636363636365,0.4005167958656331
359,Jarvis Varnado,0,0,0.4,0.2,0.2,0.2,5.0,0.0,0.2,0.0,50.0,0.0,0,1,104.0,2.06,1,2012,41,1.0,0.5084745762711863
360,Devin Ebanks,0,0,0.9,0.1,0.2,0.8,20.0,0.3,0.4,0.3,78.3,40.0,0,1,98.0,2.06,0,2010,43,0.4615384615384615,0.4889589905362776
361,Jerome Jordan,0,0,0.4,0.2,0.0,0.7,21.0,0.3,0.7,0.0,80.0,0.0,0,0,115.0,2.13,1,2011,44,0.3125,0.5442176870748299
362,Gani Lawal,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,106.0,2.06,0,2010,46,0.0,0.0
363,Solomon Alabi,0,0,0.0,0.2,0.2,0.6,12.0,0.2,0.4,0.0,0.0,0.0,0,0,114.0,2.16,1,2010,50,0.15384615384615385,0.17921146953405018
364,Luke Harangody,0,0,0.2,0.4,0.1,0.6,28.0,0.3,1.3,0.4,62.5,20.0,0,1,111.0,2.01,0,2010,52,0.12,0.4351939451277199
365,Pape Sy,0,0,1.0,0.7,0.3,0.7,3.0,0.0,0.3,0.3,100.0,0.0,1,1,102.0,2.01,0,2010,53,0.5,0.4646464646464646
366,Willie Warren,0,0,0.3,1.4,0.3,0.1,19.0,0.0,0.8,0.8,75.0,33.3,1,0,92.0,1.93,0,2010,54,0.22222222222222224,0.4773869346733668
367,Jeremy Evans,0,0,0.5,0.5,0.3,0.7,49.0,0.3,1.0,0.0,70.3,0.0,0,1,91.0,2.06,0,2010,55,0.3478260869565218,0.6716417910447762
368,Derrick Caracter,0,0,0.4,0.2,0.1,0.5,41.0,0.2,1.1,0.0,73.9,0.0,0,1,125.0,2.06,0,2010,58,0.37499999999999994,0.5305039787798409
369,Kyrie Irving,0,1,3.4,5.4,1.1,0.9,51.0,0.4,2.2,3.6,87.2,39.9,1,0,88.0,1.88,0,2011,1,0.2602739726027397,0.5638524839987809
370,Tristan Thompson,0,0,1.8,0.5,0.5,3.1,60.0,1.0,2.2,0.0,55.2,0.0,0,1,115.0,2.06,1,2011,4,0.43243243243243246,0.4596412556053811
371,Jonas Valanciunas,0,0,2.4,0.7,0.3,2.0,62.0,1.3,3.0,0.0,78.9,0.0,0,0,120.0,2.11,1,2012,5,0.5084745762711864,0.6075085324232082
372,Jan Vesely,0,0,0.6,0.8,0.7,1.8,57.0,0.6,2.7,0.0,53.2,0.0,0,1,110.0,2.13,0,2011,6,0.2894736842105263,0.5436668594563332
373,Bismack Biyombo,0,0,1.1,0.4,0.3,1.8,63.0,1.8,2.3,0.0,48.3,0.0,0,0,116.0,2.03,1,2011,7,0.5227272727272726,0.4733727810650888
374,Kemba Walker,0,0,2.5,4.4,0.9,0.5,66.0,0.3,1.2,3.4,78.9,30.5,1,0,83.0,1.83,0,2011,9,0.27586206896551724,0.4611280487804878
375,Jimmer Fredette,0,0,0.7,1.8,0.5,0.3,61.0,0.0,1.2,3.5,83.3,36.1,1,0,88.0,1.88,0,2011,10,0.10958904109589042,0.4947916666666667
376,Klay Thompson,0,0,1.2,2.0,0.7,0.4,66.0,0.3,2.3,4.1,86.8,41.4,1,0,100.0,1.98,0,2011,11,0.12844036697247704,0.540423692174665
377,Alec Burks,0,0,1.8,0.9,0.5,1.0,59.0,0.1,1.4,0.8,72.7,33.3,1,0,97.0,1.98,0,2011,12,0.39344262295081966,0.49723756906077354
378,Markieff Morris,0,0,1.2,1.0,0.7,1.1,63.0,0.7,2.8,2.0,71.7,34.7,0,1,111.0,2.06,0,2011,13,0.24637681159420288,0.4800518975024327
379,Marcus Morris Sr.,0,0,0.4,0.2,0.1,0.3,17.0,0.1,0.7,1.0,75.0,11.8,0,1,99.0,2.03,0,2011,14,0.15625,0.34909090909090906
380,Kawhi Leonard,0,0,1.1,1.1,1.3,1.6,64.0,0.4,1.4,1.7,77.3,37.6,0,1,102.0,2.01,0,2011,15,0.2222222222222222,0.5671213208901652
381,Nikola Vucevic,0,0,0.4,0.6,0.4,1.7,51.0,0.7,2.2,0.2,52.9,37.5,0,0,118.0,2.08,1,2011,16,0.12280701754385964,0.4558640696228761
382,Chris Singleton,0,0,0.5,0.7,1.1,0.7,66.0,0.5,2.7,1.9,68.2,34.6,0,1,103.0,2.06,0,2011,18,0.14893617021276595,0.4570293094883259
