,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
356,356,Yi Jianlian,Guangdong Southern Tigers (China),6,2007-08,MIL,66,24.9,8.6,3.3,7.9,42.1,0.1,0.3,28.6,1.8,2.2,84.1,1.6,3.6,5.2,0.8,1.4,0.5,0.8,2.3,18.9,1.0,0.0,-3.5,2.13,113.0,Forward,0,0,1,0
357,357,Corey Brewer,Florida,7,2007-08,MIN,79,22.8,5.8,2.3,6.2,37.4,0.1,0.5,19.4,1.1,1.4,80.0,1.0,2.7,3.7,1.4,1.1,1.0,0.3,2.4,15.1,0.0,0.0,-4.1,2.06,85.0,Guard-Forward,0,0,1,1
359,359,Joakim Noah,Florida,9,2007-08,CHI,74,20.7,6.6,2.4,5.0,48.2,0.0,0.0,0.0,1.8,2.6,69.1,2.4,3.3,5.6,1.1,1.2,0.9,0.9,2.3,19.2,8.0,0.0,-0.4,2.11,105.0,Forward-Center,0,1,1,0
360,360,Spencer Hawes,Washington,10,2007-08,SAC,71,13.1,4.7,2.1,4.5,45.9,0.1,0.3,19.0,0.5,0.8,65.5,1.0,2.3,3.2,0.6,0.8,0.2,0.6,1.8,11.0,2.0,0.0,-1.4,2.16,111.0,Forward-Center,0,1,1,0
361,361,Acie Law,Texas A&M,11,2007-08,ATL,56,15.5,4.2,1.7,4.2,40.1,0.1,0.6,20.6,0.7,0.9,79.2,0.2,0.8,1.0,2.0,1.0,0.5,0.0,1.3,9.0,0.0,0.0,-2.1,1.91,92.0,Guard,0,0,0,1
362,362,Thaddeus Young,Georgia Tech,12,2007-08,PHI,74,21.0,8.2,3.6,6.6,53.9,0.1,0.3,31.6,1.0,1.4,73.8,1.6,2.6,4.2,0.8,0.9,1.0,0.1,1.7,16.9,0.0,0.0,2.5,2.03,107.0,Forward,0,0,1,0
363,363,Julian Wright,Kansas,13,2007-08,NOH,57,11.2,3.9,1.6,3.0,53.3,0.2,0.4,41.7,0.6,0.9,63.5,0.6,1.5,2.1,0.7,0.6,0.5,0.2,0.8,9.0,0.0,0.0,0.3,2.03,102.0,Forward,0,0,1,0
364,364,Al Thornton,Florida State,14,2007-08,LAC,79,27.3,12.7,4.7,11.0,42.9,0.5,1.6,33.1,2.7,3.6,74.3,1.2,3.3,4.5,1.2,1.6,0.6,0.5,2.5,21.8,7.0,0.0,-5.1,2.03,107.0,Forward,0,0,1,0
367,367,Sean Williams,Boston College,17,2007-08,NJN,73,17.5,5.6,2.2,4.2,53.8,0.0,0.0,0.0,1.1,1.8,60.9,1.6,2.8,4.4,0.4,1.0,0.4,1.5,2.6,16.0,2.0,0.0,-2.5,2.08,107.0,Forward-Center,0,1,1,0
369,369,Javaris Crittenton,Georgia Tech,19,2007-08,LAL,22,7.8,3.3,1.2,2.4,49.1,0.0,0.1,33.3,0.9,1.3,67.9,0.3,0.6,1.0,0.8,1.0,0.3,0.0,0.5,5.6,0.0,0.0,-1.8,1.96,91.0,Guard,0,0,0,1
371,371,Daequan Cook,Ohio State,21,2007-08,MIA,59,24.4,8.8,3.3,8.7,38.1,1.3,4.0,33.2,0.8,1.0,82.5,0.3,2.7,3.0,1.3,1.1,0.4,0.2,2.7,14.8,0.0,0.0,-5.2,1.96,95.0,Guard,0,0,0,1
372,372,Jared Dudley,Boston College,22,2007-08,CHA,73,19.0,5.8,2.2,4.8,46.8,0.1,0.6,22.0,1.2,1.6,73.7,1.7,2.3,3.9,1.1,0.7,0.8,0.1,1.8,14.1,4.0,0.0,-0.6,1.98,108.0,Forward,0,0,1,0
373,373,Wilson Chandler,DePaul,23,2007-08,NYK,35,19.6,7.3,3.0,6.9,43.8,0.3,0.9,30.0,1.0,1.5,63.0,1.1,2.5,3.6,0.9,0.8,0.4,0.5,2.4,14.9,1.0,0.0,-2.7,2.03,107.0,Forward,0,0,1,0
375,375,Morris Almond,Rice,25,2007-08,UTA,9,4.4,1.4,0.4,1.7,26.7,0.1,0.4,25.0,0.4,0.7,66.7,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.6,2.3,0.0,0.0,-1.4,1.98,102.0,Guard,0,0,0,1
376,376,Aaron Brooks,Oregon,26,2007-08,HOU,51,11.9,5.2,1.8,4.4,41.3,0.7,2.1,33.0,0.8,1.0,85.7,0.3,0.8,1.1,1.7,0.9,0.3,0.1,1.4,9.2,0.0,0.0,-0.1,1.83,73.0,Guard,0,0,0,1
377,377,Arron Afflalo,California-Los Angeles,27,2007-08,DET,75,12.9,3.7,1.3,3.2,41.1,0.1,0.6,20.8,0.9,1.2,78.2,0.5,1.3,1.8,0.7,0.5,0.4,0.1,1.1,8.0,0.0,0.0,1.6,1.96,95.0,Guard,0,0,0,1
378,378,Tiago Splitter,Saski Baskonia (Spain),28,2010-11,SAS,60,12.3,4.6,1.7,3.2,52.9,0.0,0.0,0.0,1.3,2.3,54.3,1.2,2.2,3.4,0.4,0.5,0.5,0.3,1.5,11.1,1.0,0.0,-0.4,2.11,111.0,Center-Forward,0,1,1,0
381,381,Carl Landry,Purdue,31,2007-08,HOU,42,16.9,8.1,3.2,5.2,61.6,0.0,0.0,0.0,1.7,2.6,66.1,2.3,2.6,4.9,0.5,0.6,0.4,0.2,2.3,15.9,1.0,0.0,2.3,2.06,112.0,Forward,0,0,1,0
382,382,Gabe Pruitt,Southern California,32,2007-08,BOS,15,6.3,2.1,0.9,2.6,35.9,0.2,0.8,25.0,0.1,0.1,50.0,0.1,0.5,0.5,0.9,0.3,0.3,0.0,0.7,4.7,0.0,0.0,-0.9,1.93,77.0,Guard,0,0,0,1
383,383,Marcus Williams,Arizona,33,2007-08,SAS,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,-3.0,2.01,94.0,Guard,0,0,0,1
384,384,Nick Fazekas,Nevada-Reno,34,2007-08,DAL,4,2.3,1.0,0.5,1.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,2.11,107.0,Forward,0,0,1,0
385,385,Glen Davis,Louisiana State,35,2007-08,BOS,69,13.6,4.5,1.6,3.2,48.4,0.0,0.0,0.0,1.4,2.2,66.0,1.4,1.6,3.0,0.4,0.9,0.4,0.3,2.3,10.0,0.0,0.0,1.5,2.06,131.0,Forward-Center,0,1,1,0
386,386,Jermareo Davidson,Alabama,36,2007-08,CHA,38,8.5,3.2,1.3,3.3,40.8,0.0,0.0,0.0,0.5,0.7,64.3,0.6,1.1,1.6,0.3,0.4,0.2,0.4,1.2,6.9,0.0,0.0,-1.8,2.08,104.0,Forward,0,0,1,0
