,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
227,Keita Bates-Diop,Ohio State,48,2018-19,MIN,30,16.8,5.0,2.0,4.7,42.3,0.4,1.7,25.0,0.6,0.9,64.3,0.5,2.2,2.8,0.6,0.5,0.6,0.5,1.0,11.9,0,0,-1.8,2.03,104,Forward,0
228,Chimezie Metu,Southern California,49,2018-19,SAS,29,5.0,1.8,0.7,2.0,32.8,0.0,0.1,0.0,0.4,0.6,76.5,0.3,0.9,1.2,0.4,0.5,0.2,0.1,0.5,4.2,0,0,0.0,2.06,102,Forward-Center,0
229,Alize Johnson,Missouri State,50,2018-19,IND,14,4.6,0.9,0.3,1.1,25.0,0.1,0.1,50.0,0.3,0.6,50.0,0.3,1.1,1.4,0.1,0.0,0.1,0.2,0.5,3.5,0,0,0.1,2.03,96,NaN,0
230,Tony Carr,Penn State,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
231,Vince Edwards,Purdue,52,2018-19,HOU,2,7.9,1.5,0.5,2.0,25.0,0.5,2.0,25.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.7,0,0,-1.0,2.03,102,Forward,0
232,Devon Hall,Virginia,53,2019-20,OKC,11,7.3,1.8,0.5,2.7,20.0,0.4,1.5,23.5,0.4,0.7,50.0,0.2,0.5,0.6,1.2,0.5,0.4,0.1,0.5,5.3,0,0,0.8,1.96,98,Guard,0
233,Shake Milton,Southern Methodist,54,2018-19,PHI,20,13.4,4.4,1.7,4.4,39.1,0.7,2.2,31.8,0.3,0.4,71.4,0.5,1.3,1.8,0.9,0.3,0.4,0.4,1.5,9.9,0,0,-0.1,1.96,93,Guard-Forward,0
234,Arnoldas Kulboka,Brose Bamberg (Germany),55,2021-22,CHA,2,2.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,-6.0,2.08,95,Forward,0
235,Ray Spalding,Louisville,56,2018-19,DAL,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,2.06,102,NaN,0
236,Kevin Hervey,Texas-Arlington,57,2019-20,OKC,10,5.2,1.7,0.7,2.7,25.9,0.3,2.0,15.0,0.0,0.0,0.0,0.1,1.1,1.2,0.5,0.0,0.1,0.1,0.4,4.5,0,0,-3.4,2.06,104,Forward,0
237,Thomas Welsh,California-Los Angeles,58,2018-19,DEN,11,3.3,1.6,0.6,1.2,53.8,0.3,0.6,42.9,0.1,0.2,50.0,0.0,0.4,0.4,0.5,0.1,0.0,0.0,0.3,2.7,0,0,0.2,2.13,116,Center,0
238,George King,Colorado,59,2018-19,PHX,1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0,0,-9.0,1.98,100,NaN,0
239,Kostas Antetokounmpo,Dayton,60,2018-19,DAL,2,5.3,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,4.1,0,0,1.5,2.08,91,Forward,0
240,Zion Williamson,Duke,1,2019-20,NOP,24,27.8,22.5,8.8,15.0,58.3,0.3,0.6,42.9,4.8,7.4,64.0,2.7,3.6,6.3,2.1,2.5,0.7,0.4,1.8,33.8,2,0,2.6,1.98,129,Forward,0
241,Ja Morant,Murray State,2,2019-20,MEM,67,31.0,17.8,6.7,14.0,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,3.3,0.9,0.3,1.6,33.5,15,2,-0.3,1.91,79,Guard,1
242,RJ Barrett,Duke,3,2019-20,NYK,56,30.4,14.3,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,2.2,1.0,0.3,2.2,25.8,2,0,-5.8,1.98,97,Forward-Guard,0
243,De'Andre Hunter,Virginia,4,2019-20,ATL,63,32.0,12.3,4.4,10.8,41.0,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,1.6,0.7,0.3,2.9,21.8,3,0,-4.1,2.03,100,Forward-Guard,0
244,Darius Garland,Vanderbilt,5,2019-20,CLE,59,30.9,12.3,4.7,11.8,40.1,1.8,5.0,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,2.6,0.7,0.1,1.6,20.2,1,0,-5.0,1.85,87,Guard,0
245,Jarrett Culver,Texas Tech,6,2019-20,MIN,63,23.9,9.2,3.7,9.0,40.4,1.0,3.5,29.9,0.9,1.9,46.2,1.1,2.3,3.4,1.7,1.3,0.9,0.6,2.0,19.1,0,0,-1.6,1.98,88,Guard-Forward,0
246,Coby White,North Carolina,7,2019-20,CHI,65,25.8,13.2,4.8,12.2,39.4,2.0,5.8,35.4,1.6,2.0,79.1,0.4,3.1,3.5,2.7,1.7,0.8,0.1,1.8,22.4,0,0,-2.5,1.93,88,Guard,0
247,Jaxson Hayes,Texas,8,2019-20,NOP,64,16.9,7.4,2.7,4.0,67.2,0.0,0.1,25.0,1.9,3.0,64.7,1.5,2.5,4.0,0.9,0.8,0.4,0.9,2.5,16.5,3,0,-0.9,2.11,100,Center-Forward,0
248,Rui Hachimura,Gonzaga,9,2019-20,WAS,48,30.1,13.5,5.3,11.4,46.6,0.5,1.8,28.7,2.4,2.9,82.9,1.6,4.5,6.1,1.8,1.1,0.8,0.2,2.2,25.3,3,0,-5.3,2.03,104,Forward,0
249,Cam Reddish,Duke,10,2019-20,ATL,58,26.7,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,1.7,1.1,0.5,2.3,20.2,0,0,-4.2,2.03,98,Forward-Guard,0
250,Cameron Johnson,North Carolina,11,2019-20,PHX,57,22.0,8.8,3.1,7.1,43.5,1.9,4.8,39.0,0.8,1.0,80.7,0.9,2.4,3.3,1.2,0.6,0.6,0.4,1.5,17.0,2,0,0.2,2.03,95,Forward,0
251,P.J. Washington,Kentucky,12,2019-20,CHA,58,30.3,12.2,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,1.6,0.9,0.8,2.7,25.3,4,0,-3.8,2.01,104,Forward,0
252,Tyler Herro,Kentucky,13,2019-20,MIA,55,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87.0,0.3,3.8,4.1,2.2,1.6,0.6,0.2,1.4,22.5,1,0,-0.4,1.96,88,Guard,0
253,Romeo Langford,Indiana,14,2019-20,BOS,32,11.6,2.5,0.9,2.5,35.0,0.2,0.8,18.5,0.6,0.8,72.0,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,5.8,0,0,2.1,1.96,98,Guard-Forward,0
254,Sekou Doumbouya,Limoges CSP (France),15,2019-20,DET,38,19.8,6.4,2.4,6.2,39.0,0.7,2.6,28.6,0.8,1.2,67.4,0.5,2.6,3.1,0.5,0.9,0.5,0.2,2.1,12.2,2,0,-4.6,2.06,104,NaN,0
255,Chuma Okeke,Auburn,16,2020-21,ORL,45,25.2,7.8,3.0,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75.0,0.9,3.1,4.0,2.2,0.8,1.1,0.5,1.1,19.8,0,0,-4.0,1.98,104,Forward,0
256,Nickeil Alexander-Walker,Virginia Tech,17,2019-20,NOP,47,12.6,5.7,2.1,5.7,36.8,1.0,2.8,34.6,0.5,0.8,67.6,0.2,1.6,1.8,1.9,1.1,0.4,0.2,1.2,11.1,0,0,-1.2,1.96,93,Guard,0
257,Goga Bitadze,KK Mega Leks (Serbia),18,2019-20,IND,54,8.7,3.2,1.3,2.8,46.7,0.1,0.8,19.0,0.4,0.6,72.7,0.5,1.5,2.0,0.4,0.5,0.2,0.7,1.2,8.3,1,0,-0.3,2.13,113,Center-Forward,0
258,Luka Samanic,KK Olimpija (Slovenia),19,2019-20,SAS,3,16.1,5.3,1.7,5.3,31.3,1.0,2.7,37.5,1.0,1.3,75.0,0.3,3.0,3.3,2.0,0.7,0.0,0.7,2.0,13.7,0,0,1.7,2.08,103,Forward,0
259,Matisse Thybulle,Washington,20,2019-20,PHI,65,19.8,4.7,1.7,4.1,42.3,0.9,2.4,35.7,0.4,0.6,61.0,0.7,1.0,1.6,1.2,0.8,1.4,0.7,2.2,14.2,0,0,0.6,1.96,91,Guard-Forward,0
260,Brandon Clarke,Gonzaga,21,2019-20,MEM,58,22.4,12.1,5.1,8.3,61.8,0.4,1.1,35.9,1.5,1.9,75.9,1.6,4.4,5.9,1.4,0.9,0.6,0.8,1.7,24.5,3,0,-0.3,2.03,98,Forward,0
261,Grant Williams,Tennessee,22,2019-20,BOS,69,15.1,3.4,1.3,3.1,41.2,0.3,1.4,25.0,0.6,0.8,72.2,0.9,1.7,2.6,1.0,0.7,0.4,0.5,2.4,10.2,0,0,1.9,1.98,107,Forward,0
262,Darius Bazley,Princeton,23,2019-20,OKC,61,18.5,5.6,2.0,5.2,39.4,0.8,2.3,34.8,0.7,1.0,69.4,0.5,3.5,4.0,0.7,0.7,0.4,0.7,0.9,13.9,1,0,-1.3,2.03,94,Forward,0
263,Ty Jerome,Virginia,24,2019-20,PHX,31,10.6,3.3,1.2,3.6,33.6,0.5,1.6,28.0,0.4,0.5,75.0,0.2,1.3,1.5,1.4,0.6,0.5,0.1,0.9,8.4,0,0,-3.3,1.96,88,Guard-Forward,0
264,Nassir Little,North Carolina,25,2019-20,POR,48,11.9,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,8.3,1,0,-1.1,1.96,100,Forward-Guard,0
265,Dylan Windler,Belmont,26,2020-21,CLE,31,16.5,5.2,1.8,4.2,43.8,0.8,2.5,33.8,0.7,0.9,77.8,0.6,2.8,3.5,1.1,1.0,0.6,0.4,1.2,12.9,1,0,-2.0,1.98,89,Guard-Forward,0
266,Mfiondu Kabengele,Florida State,27,2019-20,LAC,12,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45.0,0.4,0.4,100,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0,0,-0.1,2.06,113,Center,0
267,Jordan Poole,Michigan,28,2019-20,GSW,57,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0,0,-3.5,1.93,88,Guard,0
268,Keldon Johnson,Kentucky,29,2019-20,SAS,17,17.7,9.1,3.1,5.2,59.6,0.8,1.3,59.1,2.1,2.6,79.5,0.6,2.8,3.4,0.9,0.8,0.8,0.1,1.6,16.5,1,0,3.9,1.98,100,Forward-Guard,0
269,Kevin Porter Jr.,Southern California,30,2019-20,CLE,50,23.2,10.0,3.7,8.4,44.2,1.1,3.2,33.5,1.5,2.0,72.3,0.4,2.8,3.2,2.2,1.9,0.9,0.3,2.7,18.9,0,0,-5.8,1.93,92,Guard-Forward,0
270,Nic Claxton,Georgia,31,2019-20,BKN,15,12.5,4.4,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.6,0.1,0.5,0.9,10.7,0,0,-4.5,2.11,98,Forward-Center,0
271,KZ Okpala,Stanford,32,2019-20,MIA,5,5.2,1.4,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.2,0.4,4.5,0,0,-3.0,2.03,98,NaN,0
272,Carsen Edwards,Purdue,33,2019-20,BOS,37,9.5,3.3,1.1,3.5,32.8,0.6,2.1,31.6,0.4,0.5,68.4,0.2,1.1,1.3,0.6,0.4,0.3,0.1,0.9,6.7,0,0,-1.3,1.80,91,Guard,0
273,Bruno Fernando,Maryland,34,2019-20,ATL,56,12.7,4.3,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.8,0.3,0.3,1.9,11.0,1,0,-1.7,2.06,109,Forward-Center,0
274,Didi Louzada,Sesi Franca (Brazil),35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
275,Cody Martin,North Carolina State,36,2019-20,CHA,48,18.8,5.0,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.9,0.8,0.2,1.6,14.0,0,0,-1.4,1.98,93,Forward,0
276,Deividas Sirvydis,BC Lietuvos rytas (Lithuania),37,2020-21,DET,20,6.7,2.1,0.7,2.0,35.0,0.5,1.4,35.7,0.2,0.3,50.0,0.0,1.5,1.5,0.3,0.3,0.1,0.0,0.5,4.2,0,0,-1.2,2.03,86,NaN,0
277,Daniel Gafford,Arkansas,38,2019-20,CHI,43,14.2,5.1,2.2,3.1,70.1,0.0,0.0,0.0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,0.7,0.3,1.3,2.3,12.9,0,0,-0.7,2.06,106,Forward-Center,0
278,Alen Smailagic,Santa Cruz (G League),39,2019-20,GSW,14,9.9,4.2,1.4,2.9,50.0,0.2,0.9,23.1,1.1,1.4,84.2,0.7,1.2,1.9,0.9,0.8,0.2,0.3,1.0,8.6,0,0,-0.6,2.08,98,Forward,0
279,Justin James,Wyoming,40,2019-20,SAC,36,6.5,2.5,1.0,2.3,41.7,0.3,0.8,31.0,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.3,0.5,5.3,0,0,-0.7,2.01,86,Guard-Forward,0
280,Eric Paschall,Villanova,41,2019-20,GSW,60,27.6,14.0,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,1.4,3.2,4.6,2.1,1.6,0.5,0.2,2.1,23.3,4,0,-6.3,1.98,116,Forward,0
281,Admiral Schofield,Tennessee,42,2019-20,WAS,33,11.2,3.0,1.1,2.8,38.0,0.6,1.8,31.1,0.3,0.5,66.7,0.2,1.2,1.4,0.5,0.2,0.2,0.1,1.5,6.3,0,0,-1.7,1.96,109,Forward,0
282,Jaylen Nowell,Washington,43,2019-20,MIN,15,10.1,3.8,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.2,0.2,0.1,0.7,7.3,0,0,0.7,1.93,91,Guard,0
283,Bol Bol,Oregon,44,2019-20,DEN,7,12.4,5.7,2.0,4.0,50.0,0.6,1.3,44.4,1.1,1.4,80.0,0.7,2.0,2.7,0.9,1.4,0.3,0.9,1.6,12.3,0,0,-3.0,2.18,100,Center-Forward,0
284,Isaiah Roby,Nebraska,45,2019-20,OKC,3,3.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.3,0.5,0,0,-1.3,2.03,104,Forward,0
285,Talen Horton-Tucker,Iowa State,46,2019-20,LAL,6,13.5,5.7,2.3,5.0,46.7,0.7,2.2,30.8,0.3,0.7,50.0,0.3,0.8,1.2,1.0,1.0,1.3,0.2,1.7,12.1,0,0,-3.0,1.93,106,Guard,0
286,Ignas Brazdeikis,Michigan,47,2019-20,NYK,9,5.9,1.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.2,0.0,0.1,0.3,3.3,0,0,-1.3,1.98,100,Forward,0
287,Terance Mann,Florida State,48,2019-20,LAC,41,8.8,2.4,0.9,1.9,46.8,0.2,0.5,35.0,0.4,0.7,66.7,0.2,1.1,1.3,1.3,0.4,0.3,0.1,1.1,6.7,1,0,-0.1,1.96,98,Guard-Forward,0
288,Quinndary Weatherspoon,Mississippi State,49,2019-20,SAS,11,7.1,1.1,0.5,1.5,29.4,0.1,0.5,20.0,0.1,0.2,50.0,0.1,0.5,0.6,1.0,0.5,0.3,0.1,0.7,4.0,0,0,-2.1,1.91,93,Guard,0
289,Jarrell Brantley,College of Charleston,50,2019-20,UTA,9,10.7,2.7,1.1,3.1,35.7,0.3,1.4,23.1,0.1,0.2,50.0,0.2,2.0,2.2,1.2,0.8,0.3,0.6,0.8,9.1,0,0,-4.1,1.96,113,Forward,0
290,Tremont Waters,Louisiana State,51,2019-20,BOS,11,10.8,3.6,1.3,4.5,28.6,0.4,2.2,16.7,0.7,0.7,100,0.0,1.1,1.1,1.5,1.4,0.9,0.2,1.2,9.0,0,0,1.8,1.78,79,Guard,0
291,Jalen McDaniels,San Diego,52,2019-20,CHA,16,18.3,5.6,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.7,0.5,0.2,2.3,13.0,0,0,-1.4,2.06,93,Forward-Center,0
292,Justin Wright-Foreman,Hofstra,53,2019-20,UTA,4,11.3,4.8,1.8,5.0,35.0,0.5,2.5,20.0,0.8,1.0,75.0,0.0,1.3,1.3,1.8,0.8,0.5,0.0,1.3,9.6,0,0,-7.5,1.83,86,Guard,0
293,Marial Shayok,Virginia,54,2019-20,PHI,4,7.0,2.8,0.8,3.0,25.0,0.5,1.5,33.3,0.8,1.0,75.0,0.3,1.5,1.8,0.3,0.8,0.0,0.3,1.0,5.2,0,0,-3.3,1.96,90,Guard-Forward,0
294,Kyle Guy,Virginia,55,2019-20,SAC,3,3.2,1.3,0.7,1.7,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,2.2,0,0,-3.7,1.85,76,NaN,0
295,Jaylen Hands,California-Los Angeles,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
296,Jordan Bone,Tennessee,57,2019-20,DET,10,5.3,1.2,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.1,0.0,0.6,3.0,0,0,0.0,1.88,82,NaN,0
297,Miye Oni,Yale,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
298,Dewan Hernandez,Miami (FL),59,2019-20,TOR,6,4.7,2.3,0.8,2.3,35.7,0.2,0.3,50.0,0.5,0.8,60.0,0.8,1.5,2.3,0.5,0.5,0.2,0.0,1.0,5.9,0,0,1.8,2.08,107,Center-Forward,0
299,Vanja Marinkovic,KK Partizan (Serbia),60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
300,Anthony Edwards,Georgia,1,2020-21,MIN,72,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1,0.5,1.8,32.0,3,0,-3.2,1.93,102,Guard,0
301,James Wiseman,Memphis,2,2020-21,GSW,39,21.4,11.5,4.9,9.4,51.9,0.3,1.0,31.6,1.4,2.2,62.8,1.4,4.4,5.8,0.7,1.5,0.3,0.9,3.1,21.5,3,0,-4.7,2.13,109,Center,0
302,LaMelo Ball,Illawarra (Australia),3,2020-21,CHA,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,2.8,1.6,0.4,2.7,35.0,7,1,-1.6,2.01,82,Guard,0
303,Patrick Williams,Florida State,4,2020-21,CHI,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,0.9,3.7,4.6,1.4,1.4,0.9,0.6,1.8,20.1,3,0,-4.1,2.01,98,Forward,0
304,Isaac Okoro,Auburn,5,2020-21,CLE,67,32.4,9.6,3.5,8.3,42.0,0.9,3.2,29.0,1.7,2.3,72.6,1.0,2.1,3.1,1.9,1.3,0.9,0.4,2.8,18.8,1,0,-6.1,1.96,102,Forward-Guard,0
305,Onyeka Okongwu,Southern California,6,2020-21,ATL,50,12.0,4.6,1.9,3.0,64.4,0.0,0.1,0.0,0.7,1.1,63.2,1.2,2.0,3.3,0.4,0.6,0.5,0.7,2.0,11.8,2,0,-1.8,2.03,109,Forward-Center,0
306,Killian Hayes,Ratiopharm Ulm (Germany),7,2020-21,DET,26,25.8,6.8,2.7,7.7,35.3,0.8,2.8,27.8,0.5,0.7,82.4,0.2,2.4,2.7,5.3,3.2,1.0,0.4,2.2,19.0,0,0,-5.0,1.96,88,Guard,0
307,Obi Toppin,Dayton,8,2020-21,NYK,62,11.0,4.1,1.7,3.4,49.8,0.4,1.4,30.6,0.3,0.4,73.1,0.4,1.8,2.2,0.5,0.4,0.3,0.2,0.9,8.6,0,0,0.4,2.06,100,Forward,0
308,Deni Avdija,Maccabi Tel Aviv B.C. (Israel),9,2020-21,WAS,54,23.3,6.3,2.4,5.8,41.7,1.0,3.1,31.5,0.5,0.8,64.4,0.4,4.4,4.9,1.2,0.6,0.6,0.3,2.6,15.9,2,0,-1.5,2.06,95,Forward,0
309,Jalen Smith,Maryland,10,2020-21,PHX,27,5.8,2.0,0.8,1.9,44.0,0.1,0.6,23.5,0.2,0.3,71.4,0.3,1.1,1.4,0.1,0.3,0.0,0.1,0.6,4.1,1,0,-0.6,2.08,98,Forward-Center,0
310,Devin Vassell,Florida State,11,2020-21,SAS,62,17.0,5.5,2.0,4.9,40.6,0.8,2.4,34.7,0.7,0.8,84.3,0.4,2.4,2.8,0.9,0.4,0.7,0.3,1.4,12.8,0,0,-1.0,1.96,91,Guard-Forward,0
311,Tyrese Haliburton,Iowa State,12,2020-21,SAC,58,30.1,13.0,5.0,10.7,47.2,2.1,5.1,40.9,0.8,1.0,85.7,0.7,2.3,3.0,5.3,1.6,1.3,0.5,1.4,28.4,5,0,-3.1,1.96,84,Guard,0
312,Kira Lewis Jr.,Alabama,13,2020-21,NOP,54,16.7,6.4,2.4,6.2,38.6,0.7,2.2,33.3,0.8,0.9,84.3,0.2,1.1,1.3,2.3,0.6,0.7,0.2,1.6,13.4,0,0,0.4,1.85,77,Guard,0
313,Aaron Nesmith,Vanderbilt,14,2020-21,BOS,46,14.5,4.7,1.7,3.9,43.8,0.9,2.3,37.0,0.5,0.6,78.6,0.6,2.2,2.8,0.5,0.5,0.3,0.2,1.9,9.9,0,0,-0.2,1.96,98,Guard-Forward,0
314,Cole Anthony,North Carolina,15,2020-21,ORL,47,27.1,12.9,4.7,11.7,39.7,1.2,3.7,33.7,2.3,2.8,83.2,0.8,3.9,4.7,4.1,2.3,0.6,0.4,2.1,25.5,0,0,-6.9,1.91,84,Guard,0
315,Isaiah Stewart,Washington,16,2020-21,DET,68,21.4,7.9,3.3,6.0,55.3,0.3,0.9,33.3,0.9,1.4,69.6,2.3,4.3,6.7,0.9,1.0,0.6,1.3,2.7,21.7,8,0,-0.9,2.03,113,Forward-Center,0
316,Alekesej Pokusevski,Olympiacos B.C. (Greece),17,2020-21,OKC,45,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28.0,0.7,0.9,73.8,0.7,4.0,4.7,2.2,2.2,0.4,0.9,1.3,19.0,1,0,-8.7,2.13,86,Forward,0
317,Josh Green,Arizona,18,2020-21,DAL,39,11.4,2.6,1.1,2.4,45.2,0.1,0.6,16.0,0.3,0.6,56.5,0.7,1.3,2.0,0.7,0.4,0.4,0.1,0.9,7.1,0,0,0.4,1.96,91,Guard,0
318,Saddiq Bey,Villanova,19,2020-21,DET,70,27.3,12.2,4.0,9.9,40.4,2.5,6.6,38.0,1.8,2.1,84.4,0.6,3.9,4.5,1.4,0.9,0.7,0.2,1.6,21.7,3,0,-3.0,2.01,98,Forward,0
319,Precious Achiuwa,Memphis,20,2020-21,MIA,61,12.1,5.0,2.0,3.7,54.4,0.0,0.0,0.0,0.9,1.8,50.9,1.2,2.2,3.4,0.5,0.7,0.3,0.5,1.5,11.4,3,0,-1.9,2.03,102,Forward,0
320,Tyrese Maxey,Kentucky,21,2020-21,PHI,61,15.3,8.0,3.2,7.0,46.2,0.5,1.7,30.1,1.0,1.1,87.1,0.2,1.5,1.7,2.0,0.7,0.4,0.2,1.3,14.2,0,0,-0.9,1.88,91,Guard,0
321,Zeke Nnaji,Arizona,22,2020-21,DEN,42,9.5,3.2,1.2,2.5,48.1,0.6,1.4,40.7,0.3,0.4,80.0,0.3,1.2,1.5,0.2,0.2,0.2,0.1,0.7,6.1,0,0,-2.0,2.06,109,Forward-Center,0
322,Leandro Bolmaro,FC Barcelona Basquet (Spain),23,2021-22,MIN,35,6.9,1.4,0.5,1.5,31.5,0.1,0.5,27.8,0.3,0.4,84.6,0.5,0.8,1.2,0.6,0.4,0.2,0.0,0.7,3.9,0,0,0.1,1.98,91,Forward,0
323,R.J. Hampton,Breakers (New Zealand),24,2020-21,DEN,25,9.3,2.6,1.0,2.4,41.7,0.2,0.7,27.8,0.4,0.5,75.0,0.4,1.6,2.0,0.6,0.4,0.2,0.1,0.9,6.2,0,0,-2.9,1.93,79,Guard,0
324,Immanuel Quickley,Kentucky,25,2020-21,NYK,64,19.4,11.4,3.6,9.1,39.5,1.8,4.7,38.9,2.4,2.7,89.1,0.4,1.8,2.1,2.0,0.9,0.5,0.2,1.8,18.0,0,0,2.8,1.91,86,Guard,0
325,Payton Pritchard,Oregon,26,2020-21,BOS,66,19.2,7.7,2.8,6.3,44.0,1.5,3.8,41.1,0.6,0.7,88.9,0.5,1.9,2.4,1.8,0.8,0.6,0.1,1.6,14.6,0,0,0.6,1.85,88,Guard,0
326,Udoka Azubuike,Kansas,27,2020-21,UTA,15,3.8,1.1,0.3,0.6,44.4,0.0,0.0,0.0,0.5,0.7,80.0,0.3,0.6,0.9,0.0,0.2,0.1,0.3,0.6,2.9,0,0,-4.3,2.13,122,Center-Forward,0
327,Jaden McDaniels,Washington,28,2020-21,MIN,63,24.0,6.8,2.6,5.8,44.7,1.1,3.1,36.4,0.4,0.7,60.0,0.8,2.9,3.7,1.1,0.7,0.6,1.0,2.7,16.7,0,0,-1.6,2.06,84,Forward,0
328,Malachi Flynn,San Diego State,29,2020-21,TOR,47,19.7,7.5,2.7,7.2,37.4,1.1,3.6,32.1,1.0,1.2,80.4,0.2,2.3,2.5,2.9,0.9,0.8,0.1,1.4,16.8,1,0,-2.1,1.85,79,Guard,0
329,Desmond Bane,Texas Christian,30,2020-21,MEM,68,22.3,9.2,3.4,7.3,46.9,1.7,4.0,43.2,0.6,0.7,81.6,0.5,2.6,3.1,1.7,0.9,0.6,0.2,1.8,17.1,0,0,0.2,1.96,98,Guard,0
330,Tyrell Terry,Stanford,31,2020-21,DAL,11,5.1,1.0,0.5,1.5,31.3,0.0,0.6,0.0,0.1,0.3,33.3,0.0,0.5,0.5,0.5,0.2,0.5,0.0,0.2,3.7,0,0,0.0,1.88,73,Guard,0
