,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
72,Georgios Papagiannis,Panathinaikos B.C. (Greece),13,2016-17,SAC,22,16.1,5.6,2.5,4.6,54.9,0.0,0.1,0.0,0.5,0.6,85.7,1.1,2.8,3.9,0.9,1.1,0.1,0.8,2.0,13.3,2,0,-1.4,2.16,109,Center,0
73,Denzel Valentine,Michigan State,14,2016-17,CHI,57,17.1,5.1,1.8,5.1,35.4,1.3,3.6,35.1,0.2,0.3,77.8,0.2,2.5,2.6,1.1,0.9,0.5,0.1,1.5,11.0,1,0,-0.3,1.93,100,NaN,0
74,Juancho Hernangomez,Movistar Estudiantes,15,2016-17,DEN,62,13.6,4.9,1.6,3.6,45.1,0.7,1.8,40.7,0.9,1.2,75.0,0.7,2.3,3.0,0.5,0.5,0.5,0.2,1.0,10.8,1,0,-0.5,2.06,97,Forward,0
75,Guerschon Yabusele,SPO Rouen Basket,16,2017-18,BOS,33,7.1,2.4,0.8,1.8,42.6,0.4,1.1,32.4,0.5,0.7,68.2,0.5,1.1,1.6,0.5,0.4,0.1,0.2,0.7,5.5,0,0,-0.2,2.03,118,Forward,0
76,Wade Baldwin IV,Vanderbilt,17,2016-17,MEM,33,12.3,3.2,1.1,3.5,31.3,0.1,0.7,13.6,0.9,1.1,83.8,0.3,1.1,1.4,1.8,1.2,0.5,0.2,1.2,8.7,0,0,-4.2,1.93,91,NaN,0
77,Henry Ellenson,Marquette,18,2016-17,DET,19,7.7,3.2,1.2,3.4,35.9,0.5,1.8,28.6,0.2,0.4,50.0,0.4,1.7,2.2,0.4,0.7,0.1,0.1,0.3,5.9,1,0,-0.2,2.08,109,NaN,0
78,Malik Beasley,Florida State,19,2016-17,DEN,22,7.5,3.8,1.5,3.3,45.2,0.4,1.3,32.1,0.4,0.5,80.0,0.2,0.5,0.8,0.5,0.4,0.3,0.0,0.5,6.0,0,0,2.6,1.93,85,Guard,0
79,Caris LeVert,Michigan,20,2016-17,BKN,57,21.7,8.2,3.0,6.7,45.0,1.0,3.2,32.1,1.2,1.6,72.0,0.4,2.9,3.3,1.9,1.0,0.9,0.1,1.6,17.0,0,0,-1.6,1.98,93,Guard,0
80,DeAndre' Bembry,Saint Joseph's,21,2016-17,ATL,38,9.8,2.7,1.2,2.6,48.0,0.0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,6.2,0,0,-1.2,1.96,95,NaN,0
81,Malachi Richardson,Syracuse,22,2016-17,SAC,22,9.0,3.6,1.3,3.1,41.2,0.4,1.3,28.6,0.7,0.9,78.9,0.1,0.9,1.0,0.5,0.4,0.2,0.0,1.0,6.1,0,0,-0.8,1.98,93,NaN,0
82,Ante Zizic,KK Cibona (Croatia),23,2017-18,CLE,32,6.7,3.7,1.5,2.1,73.1,0.0,0.0,0.0,0.7,0.9,72.4,0.8,1.1,1.9,0.2,0.3,0.1,0.4,0.9,7.3,0,0,-1.2,2.08,121,Center,0
83,Timothe Luwawu-Cabarrot,KK Mega Vizura,24,2016-17,PHI,69,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,1.1,0.5,0.1,2.2,11.4,0,0,-0.8,2.01,98,Guard-Forward,0
84,Brice Johnson,North Carolina,25,2016-17,LAC,3,3.1,1.3,0.7,2.3,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.3,0.7,0.3,0.0,5.7,0,0,2.3,2.08,104,NaN,0
85,Furkan Korkmaz,Anadolu Efes S.K. (Turkey),26,2017-18,PHI,14,5.7,1.6,0.6,2.0,28.6,0.4,1.2,29.4,0.1,0.3,50.0,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,3.5,0,0,-3.1,2.01,92,Guard-Forward,0
86,Pascal Siakam,New Mexico State,27,2016-17,TOR,55,15.6,4.2,1.9,3.7,50.2,0.0,0.1,14.3,0.4,0.6,68.8,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2.0,11.9,0,0,-0.9,2.03,104,Forward,0
87,Skal Labissiere,Kentucky,28,2016-17,SAC,33,18.5,8.8,3.5,6.6,53.7,0.1,0.2,37.5,1.6,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,17.4,2,0,-1.2,2.08,107,Forward-Center,0
88,Dejounte Murray,Washington,29,2016-17,SAS,38,8.5,3.4,1.3,3.1,43.1,0.2,0.6,39.1,0.6,0.8,70.0,0.2,0.9,1.1,1.3,1.0,0.2,0.2,0.8,6.7,0,0,0.0,1.93,82,Guard,0
